Molecule,SMILES,Global Sum: Rot Bonds,C Count,F Count,O Count,H Count,Global Sum: bo 1.0,Local Sum: bo 1.0 C-F,Local Sum: bo 1.0 H-O,Global Sum: bo 2.0,Local Sum: bo 2.0 C-O,Local Sum: bo 1.0 C-C,Local Sum: bo 1.0 C-H,Local Sum: bo 2.0 C-C,Local Sum: F-C-C-C Torsional Axes,Local Sum: F-C-C-H Torsional Axes,Local Sum: C-C-C-C Torsional Axes,Local Sum: C-C-C-H Torsional Axes,Local Sum: F-C-C-F Torsional Axes,Local Sum: C-C-C-F Torsional Axes,Local Sum: *H-C-C-C Torsional Axes,Local Sum: *F-C-C-C Torsional Axes,Global Sum: Torsional Axes,Local Sum: bo 2.0 O-O,Local Sum: bo 1.0 C-O,Local Sum: C-C-C-O Torsional Axes,Local Sum: F-C-C-O Torsional Axes,Local Sum: C-C-O-H Torsional Axes,Local Sum: O-C-O-H Torsional Axes,Local Sum: C-C-O-C Torsional Axes,Local Sum: F-C-O-C Torsional Axes,Local Sum: C-O-C-C Torsional Axes,Local Sum: C-O-C-F Torsional Axes,Local Sum: O-C-C-O Torsional Axes,Local Sum: O-C-C-F Torsional Axes,Local Sum: H-C-C-C Torsional Axes,Local Sum: H-C-C-H Torsional Axes,Local Sum: H-C-C-O Torsional Axes,Local Sum: H-C-O-H Torsional Axes,Local Sum: O-C-O-C Torsional Axes,Local Sum: F-C-O-H Torsional Axes,Local Sum: bo 1.0 O-O,Local Sum: C-C-O-O Torsional Axes,Local Sum: F-C-O-O Torsional Axes,Local Sum: H-C-C-F Torsional Axes,Local Sum: bo 1.0 F-H,Local Sum: O-C-C-H Torsional Axes,Local Sum: C-O-C-O Torsional Axes,Local Sum: O-C-C-C Torsional Axes,Local Sum: H-O-C-F Torsional Axes,Local Sum: H-O-C-C Torsional Axes,Local Sum: H-O-C-O Torsional Axes,Local Sum: C-O-C-H Torsional Axes,a0,a1,a2,a3,a4,H_f_0K,S_300K 
22rh,CCC(F)(F)C(F)(F)F,2,4,5,0,5,13,5,0,0,0,3,5,0,5,4,1,5,6,0,5,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0.12557,-0.000098047,0.000000037932,-5.782E-12,0,92.759
31_butene,C=C(F)C(F)(F)C(F)(F)F,1,4,6,0,2,10,6,0,1,0,2,2,1,2,0,1,0,8,4,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1921,0.13202,-0.00012382,0.000000055152,-9.3714E-12,0,95.365
cbutane_diradical,F[C](F)C(F)(F)C(F)(F)[C](F)F,3,4,8,0,0,11,8,0,0,0,3,0,0,6,0,1,0,12,2,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9754,0.13412,-0.00013135,0.0000000594,-1.01E-11,-296.79,107.9
pfhpal,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,7,14,1,0,20,14,0,1,1,6,0,0,8,0,4,0,24,12,0,20,51,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.026,0.26416,-0.00026033,0.000000119,-2.04E-11,-723.56,151.43
cf2_h2o_ts_prod,OC(F)F,1,1,2,1,2,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.7417,0.048881,-0.0000395,0.0000000158,-2.47E-12,-159.19,65.583
c4f7_o,O=C(F)[C](F)C(F)(F)C(F)(F)F,2,4,7,1,0,10,7,0,1,1,3,0,0,1,0,1,0,9,6,0,7,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9241,0.13439,-0.00013079,0.0000000591,-1.01E-11,-300.33,106.98
cf2coho,O=C(O)[C](F)F,1,2,2,2,1,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6578,0.060926,-0.0000553,0.0000000242,-4.06E-12,-269,78.453
c3f8,FC(F)(F)C(F)(F)C(F)(F)F,0,3,8,0,0,10,8,0,0,0,2,0,0,3,0,0,0,12,3,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9759,0.054518,-0.0000101,-0.0000000069,2.45E-12,-418.32,64.110605
pfpncof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,5,10,1,0,14,10,0,1,1,4,0,0,4,0,2,0,16,8,0,12,33,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.495,0.18766,-0.00018422,0.000000083691,-1.4353E-11,0,123.37
tfcof_oh,[O]C(O)(F)C(F)(F)F,1,2,4,2,1,8,4,1,0,0,1,0,0,0,0,0,0,3,0,0,0,12,0,2,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6524,0.10215,-0.0001018,0.0000000472,-8.23E-12,0,85.745
1_octane_c7_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,7,15,0,0,21,15,0,0,0,6,0,0,8,0,4,0,26,13,0,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.979,0.25448,-0.00024654,0.00000011,-1.86E-11,-702.8,152.659706
2_propyl,F[C](C(F)(F)F)C(F)(F)F,0,3,7,0,0,9,7,0,0,0,2,0,0,0,0,0,0,6,6,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8084,0.11084,-0.00010769,0.0000000483,-8.17E-12,-318.55,99.051
cf2o2_rad,[O]O[C](F)F,1,1,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5.1022,0.046575,-0.000045,0.0000000203,-3.48E-12,-41.1,69.181
ethane1H,FC(F)C(F)(F)F,0,2,5,0,1,7,5,0,0,0,1,1,0,0,3,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1197,0.080406,-0.0000722,0.0000000307,-5.01E-12,-263.33,79.748
octene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,8,16,0,0,22,16,0,1,0,6,0,1,10,0,5,0,24,12,0,22,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.173,0.28984,-0.00028597,0.00000013,-2.24E-11,-763.52,161.73
ester_oh,[O]C(O)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,4,5,10,3,1,18,10,1,0,0,3,0,0,3,0,0,0,10,2,0,5,36,0,4,1,11,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9.5262,0.23254,-0.00023163,0.000000107,-1.85E-11,0,136.34
c2f4o2,[O]OC(F)(F)[C](F)F,2,2,4,2,0,7,4,0,0,0,1,0,0,0,0,0,0,4,0,0,0,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,7.0756,0.085872,-0.0000846,0.0000000385,-6.59E-12,-145.69,88.684
frd_903_carbF,O=C(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,4,6,12,2,0,18,12,0,1,1,4,0,0,3,0,0,0,14,6,0,9,39,0,2,2,3,0,0,1,2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.577,0.2409,-0.00023634,0.000000107,-1.84E-11,0,144.76
2_heptene,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3,7,14,0,0,19,14,0,1,0,5,0,1,6,0,3,0,19,11,0,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.666,0.2538,-0.00025026,0.000000114,-1.96E-11,-673.36,149.61
e1,F[C@@H](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3,5,11,1,1,17,11,0,0,0,3,1,0,3,0,0,0,13,2,0,5,33,0,2,1,2,0,0,1,2,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,8.5402,0.21078,-0.00020132,0.0000000897,-1.51E-11,0,130.72
cf3co,O=[C]C(F)(F)F,0,2,3,1,0,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8249,0.059384,-0.0000584,0.0000000268,-4.64E-12,-147.16,77.255
butylallyl,F[C](C(F)=C(F)F)C(F)(F)F,1,4,7,0,0,9,7,0,1,0,2,0,1,1,0,1,0,4,4,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4988,0.11984,-0.00011699,0.000000053,-9.07E-12,-274.97,106.35
heptane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,7,15,0,1,22,15,0,0,0,6,1,0,8,2,4,1,26,13,1,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.771,0.27204,-0.00026288,0.000000118,-2.01E-11,-751.79,150.76
cf2oh2,OC(O)(F)F,2,1,2,2,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2.7915,0.070727,-0.0000684,0.0000000316,-5.52E-12,-217.61,70.838
cf2_2h2o_prod,O.OC(F)F,1,1,2,2,4,7,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14.805,0.024927,-0.0000207,0.00000000906,-1.56E-12,-238.46,81.788
c2f6,FC(F)(F)C(F)(F)F,0,2,6,0,0,7,6,0,0,0,1,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4745,0.092686,-0.0000919,0.000000042,-7.22E-12,-320.02,79.457408
tfal,O=C(F)C(F)(F)F,0,2,4,1,0,5,4,0,1,1,1,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1988,0.073197,-0.0000705,0.0000000317,-5.39E-12,-248.11,79.943
c7f15oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,7,15,1,1,23,15,1,0,0,6,0,0,8,0,4,0,26,13,0,21,57,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13.438,0.29164,-0.0002889,0.000000132,-2.28E-11,-803.55,155.44
propane1H,FC(F)C(F)(F)C(F)(F)F,1,3,7,0,1,10,7,0,0,0,2,1,0,3,2,0,1,10,2,1,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9291,0.11846,-0.00011,0.0000000481,-8.01E-12,-361.38,95.555
2_butene,F/C(=C(/F)C(F)(F)F)C(F)(F)F,0,4,8,0,0,10,8,0,1,0,2,0,1,3,0,0,0,6,3,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1603,0.14015,-0.00013764,0.0000000626,-1.07E-11,-379.88,106.06
pentene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,2,5,10,0,0,13,10,0,1,0,3,0,1,3,0,2,0,12,7,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.062,0.17448,-0.00017105,0.0000000777,-1.33E-11,-470.07,119.44
pfhxal,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,6,12,1,0,17,12,0,1,1,5,0,0,6,0,3,0,20,10,0,16,42,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.294,0.22583,-0.00022218,0.000000101,-1.73E-11,-625.09,137.47
cf2oh,O[C](F)F,1,1,2,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.997,0.043748,-0.0000408,0.0000000181,-3.07E-12,-109.79,13.856
octane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,8,17,0,1,25,17,0,0,0,7,1,0,10,2,5,1,30,15,1,25,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.24,0.3113,-0.00030219,0.000000136,-2.32E-11,-958.27,164.19
allene,FC(F)=C=C(F)F,0,3,4,0,0,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1059,0.069647,-0.0000667,0.00000003,-5.12E-12,-119.08,81.873
